Nome,Descrição
Berserk,"Guts é um hábil espadachim que une forças com um grupo de mercenários liderado pelo carismático Griffith, enquanto eles se dirigem para a corte real."
Fullmetal Alchemist: Brotherhood,Dois irmãos buscam uma pedra filosofal depois que uma tentativa de reviver sua falecida mãe se desfaz e os deixa em formas físicas danificadas.
Vinland Saga,Thorfinn embarca em uma jornada com o assassino de seu pai para se vingar e terminar sua vida em um duelo como um honrado guerreiro e prestar homenagem a seu pai.
Hunter x Hunter,"A história de Gon Freecs, um garoto que saiu de casa sozinho para se tornar um caçador. Neste caminho, Gon conhece Leorio, Kurapika e Killua."
Death Note,Um inteligente estudante do colegio va numa segreda viagem para eliminar criminais do mundo quando descobre um livro que é capaz de matar a qualquier que tenha seu nome escrito em ele.
One Punch Man,"A história de Saitama, um herói apenas por diversão que pode derrotar seus inimigos com um único soco."
Jojo no kimyô na bôken,"Adicionar um enredo no seu idioma
Three members of the Joestar family, a clan of psychic fighters, set out on a quest to destroy their family's ancient enemy."
Ataque dos Titãs,"Depois que sua cidade é destruída e sua mãe é morta, um jovem promete limpar a terra dos humanóides que levaram a humanidade à beira da extinção."
Akira,Um projeto militar põe em perigo a Tokyo.
One Piece,Siga as aventuras de Monkey Luffy e seus amigos para encontrar o maior tesouro que o lendário pirata já deixou.
Naruto,"Naruto Uzumaki, um ninja adolescente, busca reconhecimento e sonhos de se tornar o Hokage, o líder da aldeia e o ninja mais forte."
20-seiki shônen: Honkaku kagaku bôken eiga,"Adicionar um enredo no seu idioma
Years after a schoolboy writes a book of prophecies, a mysterious super-villain uses it as his master-plan of world destruction."
Dragon Ball,"Gokû, um lutador com cauda de macaco, procura uma variedade de personagens estranhos em busca das Dragon Balls, um conjunto de cristais que podem dar a quem usa o que quiser."
Slam Dunk,"Hanamichi Sakuragi é um colegial delinquente de topete ruivo, cansado de tomar fora das garotas que preferem os esportistas. Mas a sua vida começa a mudar quando se apaixona por Haruko, que ... Ler tudo"
Mob Psycho 100,"Uma criança psíquica do ensino médio tenta viver uma vida normal e manter seus poderes baixo controle, mesmo que ele constantemente se mete em problemas."
Bleach,"O estudante do colegio, o Kurosaki Ichigo é diferente de qualquer criança comum, porque ele pode ver fantasmas."
Parasyte: The Maxim,Shinichi Izumi de 17 anos está parcialmente infectado por um parasito; monstros que massacram e consomem humanos. Ele deve aprender a conviver com a criatura se quiser sobreviver tanto à vid... Ler tudo
Tokyo Ghoul,"Um estudante universitário em Tóquio é atacado por um demônio, um humano com superpoderes que se alimenta de carne humana. Ele sobrevive, mas ele se tornou um demônio e se torna um fugitivo."
The Promised Neverland,As crianças astutas de um orfanato descobrem a verdade sombria sobre sua casa e planejam fugir e salvar todos os seus companheiros.
Samurai X,"As aventuras de um jovem espadachim errante que tropeça em uma escola de artes marciais em dificuldade na era Meiji, no Japão."
Assassination Classroom,"Uma criatura poderosa afirma que dentro de um ano, a Terra será destruída por ele, mas oferece à humanidade a oportunidade, onde ele ensina os seus alunos como matá-lo. Uma sala de aula de a... Ler tudo"
Hajime no Ippo,O jovem Ippo Makunouchi é salvo de uma briga pelo boxeador profissional Mamoru Takamura e começa a treinar boxe para entender o que significa ser forte.
Haikyuu!!,"Determinado a ser como o jogador estrela do campeonato de voleibol Shouyou, um menino baixinho apelidado de ""o pequeno gigante"", junta-se ao clube de voleibol da escola."
Nausicaä do Vale do Vento,A princesa Nausicaä luta desesperadamente para impedir que duas nações em guerra se destruam e destruam seu planeta moribundo.
A Voz do Silêncio,"Um jovem é excluído por seus colegas depois de intimidar uma menina surda ao ponto de mudar de escola. Anos depois, ele parte para o caminho da redenção."
Gantz,Uma misteriosa bola preta chamada Gantz ressuscita um grupo de pessoas para combater os criminosos alienígenas que se escondem na Terra.
Minha Academia de Heróis,Uma criança obsecado pelos heroís está determinado a entrar numa institução de herois para aprender o que é realmente ser um deles.
Mushishi,"Ginko é um especialista que viaja para investigar uma forma de vida primitiva, o ""Mushi"", e ajuda pessoas com problemas sobrenaturais."
Neon Genesis Evangelion,Um adolescente é reclutado pelo seu pai para ser parte duma élite de pilotos.
Devilman,"Adicionar um enredo no seu idioma
Devilman faces the tortoise demon Jinmen and birdwoman Shiranu."
UFO robo: Gurendaizâ,"Adicionar um enredo no seu idioma
Escaping from Vega's evil forces, the young Prince of planet Fleed leaves his destroyed homeland aboard the UFO Robot Grendizer, a powerful war machine, and makes it to Earth. Rescued by a b... Ler tudo"
Mazinger Z,"O adolescente Koji Kabuto pilota o incrível super robô Mazinger Z para vingar o seu avô do Império Mycene, liderado pelo cientista maluco Doctor Hell."
Rupan sansei: Part II,"O mestre ladrão Lupin III e seus companheiros continuam suas façanhas de controle global, com o teimoso inspetor Zenigata sempre atrás deles."
Futuro Robô Daltanious,"Adicionar um enredo no seu idioma
Earth has been conquered by the Zaar Empire. Kento, a war orphan, finds a cave where are two super-robots, Atlas and Beralios. Both robots combined form the mighty robot Daltanious. Kento is... Ler tudo"
GTO,"Siga Eikichi Onizuka, um ex-gângster de 22 anos que tem uma ambição que ninguém esperava dele. Seu único objetivo na vida é se tornar o melhor professor do colégio de todos os tempos."
Alita: Anjo de Combate,"Um ciborgue feminino desativado é revivido, mas não consegue lembrar de nada de sua vida passada e sai em uma missão para descobrir quem ela é."
Gintama,"Em uma época em que alienígenas invadiram e assumiram o controle de Tóquio feudal, um samurai desempregado encontra trabalho como pode."
Inuyasha,Uma adolescente viaja periodicamente de volta no tempo ao Japão feudal para ajudar um jovem meio-demônio a recuperar os fragmentos de uma jóia de grande poder.
Soul Eater,"Adicionar um enredo no seu idioma
Set in the Shinigami technical school, the series revolves around a partnership between a weapon meisters and a human weapons. Trying to reach a ranking of ""Death Scythe"" they must collect t... Ler tudo"
Black Clover,"Asta e Yuno foram deixados juntos na mesma igreja e têm sido inseparáveis desde então. Como crianças, eles prometeram competir para ver quem se tornaria o próximo Imperador Magus."
Kimetsu no Yaiba: Asakusa Hen,"Adicionar um enredo no seu idioma
Tanjiro ventures to Asakusa, Tokyo for his second mission with the Demon Slayer Corps."
Banana Fish,Relata a guerra entre um chefe mafioso chamado Dino e o jovem líder de uma gangue em busca de redenção.
Hokuto no Ken,"No ano de 19XX, depois de ser traído e deixado para morrer, o guerreiro corajoso Kenshiro vagueia por um terreno baldio pós-apocalíptico em uma busca para encontrar seu rival, Shin, que sequ... Ler tudo"
Fruits Basket,"Depois que Tohru é acolhida pela família Soma, ela descobre que doze membros da família se transformam involuntariamente em animais zodíacos chineses e os ajuda a lidar com a dor emocional c... Ler tudo"
Astro Boy tetsuwan atomu,"Adicionar um enredo no seu idioma
Starring Astro, Japan's first Superhero and a modern folk hero- an anime adaption for the new century based on the seminal manga 'Astro Boy' by the 'God of Manga' Osamu Tezuka."
Saiki Kusuo no Psi Nan,"Saiki Kusuo é um médium poderoso que odeia chamar a atenção, mas está cercado de personagens coloridos que sempre encontram uma maneira de tirá-lo de sua vida cotidiana."
Sailor Moon,As aventuras mágicas de uma adolescente que aprende o seu destino como a lendária guerreira Sailor Moon.
Lady Oscar,"Adicionar um enredo no seu idioma
The story of Lady Oscar, a female military commander who served during the time of the French Revolution."
Uchû kaizoku kyaputen Hârokku,"Adicionar um enredo no seu idioma
In 2977, mankind has space colonies, machines do all the work and everyone just wants to have fun. When deadly plant-based aliens that look like women attack the Earth in order to colonize i... Ler tudo"
Eyeshield 21,"Adicionar um enredo no seu idioma
Kobayakawa Sena is a little guy who always get picked on by the bullies in school. Since elementary school, he always play the role of the 'errand boy' to the extent that he has become swift... Ler tudo"
Rabu Hina,"Adicionar um enredo no seu idioma
Keitaro had a childhood friend. When she had to move away, they promised to meet again at Tokyo University. Years later, Keitaro has failed his entrance exam twice, but he won't give up his ... Ler tudo"
Zero no tsukaima,"Quando Saito, um adolescente comum que vive no Japão, é subitamente levado ao reino mágico de Halkeginia, ele se torna o servo familiar de Louise, uma jovem mulher matriculada em uma academi... Ler tudo"
Grand Blue,"Adicionar um enredo no seu idioma
A college student spends his year at the seaside town of Izu, having fun on the beach with his school friends."
Detetive Conan,"Shinichi Kudo é um estudante que atua como detetive, renomado por ser capaz de resolver os crimes mais difíceis com sua sagacidade e poder de dedução. Shinichi é encolhido e passa viver como... Ler tudo"
Fairy Tail,"Lucy, uma aspirante a mágica celestial, torna-se amiga e aliada dos poderosos mágicos Natsu, Gray e Erza, que fazem parte de um famoso grêmio de mágicos."
Tokyo Revengers,"Um perdedor de meia-idade viaja no tempo para seus anos de escola e, para salvar o amor de sua vida da desgraça futura, ele deve tornar-se o líder de uma temida gangue escolar."
Uma Canção Élfica,"Adicionar um enredo no seu idioma
Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality."
Ranma ½,"Adicionar um enredo no seu idioma
A girl is involuntarily engaged to a boy who turns female when hit with cold water and male when hit with hot."
Yu-Gi-Oh!,"Yugi Moto resolve um antigo quebra-cabeças egípcio e apresenta um alter ego sombrio e poderoso. Toda vez que ele e seus amigos são ameaçados pelo mal no Duel Monster Card Game, esse alter eg... Ler tudo"
Akatsuki no Yona OVA,"Adicionar um enredo no seu idioma
Princess Yona and her companions, including the four legendary dragons, continue traveling. Adventures await, as well as shocking discoveries about each others' pasts."
Kaichou wa meido-sama!,"Ayuzawa Misaki é presidente do Conselho Superior de Estudantes Seika. Sem o conhecimento de seus colegas de classe, ela trabalha meio período como empregada em um Maid Cafe. Usui Takumi, um ... Ler tudo"
Beijo Espectral,"Adicionar um enredo no seu idioma
Nanami is left homeless after her father runs away due to debts. When she saves a man named Mikage from dogs, he gives her his house which turns out to be a shrine and she becomes the new de... Ler tudo"
Bakemonogatari,"O aluno do ensino médio, Koyomi Araragi, torna-se novamente humano. Curado de seu vampirismo, ele ajuda outros sobrenaturais com seus problemas. Koyomi se envolve em suas vidas, revelando se... Ler tudo"
Black Jack,"Adicionar um enredo no seu idioma
The adventures of the unlicensed but genius doctor Black Jack, who encounters extraordinary people and phenomena as he attends to unusual medical cases."
Pokémon,"Segue a aventura de Satoshi com seus Pokemon, Pikachu e seus amigos para se tornar o mestre Pokémon."
Shijou Saikyou no Deshi Kenichi,"Adicionar um enredo no seu idioma
""Weak Legs"" Kenichi Shirahama would rather spend his time reading self improvement books than fighting."
Mugen no jûnin,"No Japão medieval, uma bruxa amaldiçoa um mestre espadachim com imortalidade. Depois de muitos anos, ele se cansa e pede que o torne mortal, se ele reparar seus pecados matando 1000 homens m... Ler tudo"
Golgo 13,"Adicionar um enredo no seu idioma
Duke Togo, a.k.a. Golgo 13, is a highly-skilled assassin hired only by those who pay top-dollar for his services - whether it's the FBI, CIA, industrial corporations or mafias. Regardless of... Ler tudo"
